device_id,datetime,address_ip,address_port,original_message_id,status,lat,lat_dir,lon,lon_dir,spd_over_grnd,true_course,datestamp,mag_variation,mag_var_dir
0001,2019-02-13 14:09:59,172.19.0.17,4007,1550070599576-0,A,51.31830816666667,N,4.315722166666666,E,0.0,1.59,150218,0.8,E
0001,2019-02-13 14:21:01,172.19.0.16,4007,1550071261429-0,A,51.31830816666667,N,4.315722166666666,E,0.0,1.59,150218,0.8,E
0001,2019-02-13 14:10:48,172.19.0.17,4007,1550070648974-0,A,51.3183085,N,4.315720833333334,E,0.0,5.25,150218,0.8,E
0001,2019-02-13 14:43:54,172.19.0.16,4007,1550072634730-0,A,51.3183085,N,4.315720833333334,E,0.0,5.25,150218,0.8,E
0001,2019-02-13 14:54:56,172.19.0.16,4007,1550073296534-0,A,51.3183085,N,4.315720833333334,E,0.0,5.25,150218,0.8,E
0001,2019-02-13 14:11:51,172.19.0.17,4007,1550070711545-0,A,51.31830766666667,N,4.315721666666667,E,0.0,2.0,150218,0.8,E
0001,2019-02-13 13:11:25,172.19.0.11,4007,1550067085998-0,A,51.31830766666667,N,4.315721666666667,E,0.0,2.0,150218,0.8,E
0001,2019-02-13 13:11:29,172.19.0.11,4007,1550067089579-0,A,51.31830766666667,N,4.315721666666667,E,0.0,1.56,150218,0.8,E
0001,2019-02-13 14:33:58,172.19.0.16,4007,1550072038921-0,A,51.31830766666667,N,4.315721666666667,E,0.0,1.56,150218,0.8,E
0001,2019-02-13 14:11:55,172.19.0.17,4007,1550070715129-0,A,51.31830766666667,N,4.315721666666667,E,0.0,1.56,150218,0.8,E
0001,2019-02-13 14:45:00,172.19.0.16,4007,1550072700884-0,A,51.31830766666667,N,4.315721666666667,E,0.0,1.56,150218,0.8,E
0001,2019-02-13 14:11:55,172.19.0.17,4007,1550070715997-0,A,51.31830766666667,N,4.315721666666667,E,0.0,5.94,150218,0.8,E
0001,2019-02-13 13:11:30,172.19.0.11,4007,1550067090452-1,A,51.31830766666667,N,4.315721666666667,E,0.0,5.94,150218,0.8,E
0001,2019-02-13 14:45:01,172.19.0.16,4007,1550072701746-0,A,51.31830766666667,N,4.315721666666667,E,0.0,5.94,150218,0.8,E
0001,2019-02-13 14:11:56,172.19.0.17,4007,1550070716452-0,A,51.31830766666667,N,4.315721666666667,E,0.0,5.9,150218,0.8,E
0001,2019-02-13 13:11:30,172.19.0.11,4007,1550067090907-0,A,51.31830766666667,N,4.315721666666667,E,0.0,5.9,150218,0.8,E
0001,2019-02-13 14:45:02,172.19.0.16,4007,1550072702212-0,A,51.31830766666667,N,4.315721666666667,E,0.0,5.9,150218,0.8,E
0001,2019-02-13 14:12:24,172.19.0.17,4007,1550070744051-0,A,51.318307,N,4.315723166666666,E,0.0,5.25,150218,0.8,E
0001,2019-02-13 14:34:27,172.19.0.16,4007,1550072067843-0,A,51.318307,N,4.315723166666666,E,0.0,5.25,150218,0.8,E
0001,2019-02-13 14:34:28,172.19.0.16,4007,1550072068526-0,A,51.318307,N,4.315723333333334,E,0.0,8.45,150218,0.8,E
0001,2019-02-13 14:23:26,172.19.0.16,4007,1550071406586-0,A,51.318307,N,4.315723333333334,E,0.0,8.45,150218,0.8,E
0001,2019-02-13 14:12:24,172.19.0.17,4007,1550070744731-0,A,51.318307,N,4.315723333333334,E,0.0,8.45,150218,0.8,E
st-1a2090,2019-02-13 17:46:44,172.24.0.1,4007,1550083604947-0,A,51.690416166666665,N,4.4091016666666665,E,0.0,0.59,130219,1.0,E
st-1a2090,2019-02-13 17:46:46,172.24.0.1,4007,1550083606350-0,A,51.690416166666665,N,4.4091016666666665,E,0.0,4.29,130219,1.0,E
st-1a2090,2019-02-11 23:03:45,192.168.240.1,4007,1549929825863-0,A,50.98073566666667,N,6.977534,E,0.0,71.36,120219,1.8,E
st-1a2090,2019-02-14 00:54:50,172.24.0.1,4007,1550109290906-0,A,51.683604333333335,N,4.3930221666666665,E,0.0,76.12,140219,1.0,E
st-1a2090,2019-02-14 00:54:51,172.24.0.1,4007,1550109291386-0,A,51.6836045,N,4.393022,E,0.0,76.6,140219,1.0,E
st-1a2090,2019-02-14 00:54:51,172.24.0.1,4007,1550109291885-0,A,51.6836045,N,4.393022,E,0.0,73.99,140219,1.0,E
st-1a2090,2019-02-13 10:07:16,172.23.0.1,4007,1550056036964-0,A,51.903500666666666,N,5.5429625,E,0.0,50.12,130219,1.4,E
st-1a2090,2019-02-13 10:07:17,172.23.0.1,4007,1550056037556-0,A,51.903500666666666,N,5.5429623333333335,E,0.0,51.42,130219,1.4,E
st-1a2090,2019-02-13 10:38:56,172.23.0.1,4007,1550057936361-0,A,51.90100533333333,N,5.541885333333333,E,0.0,22.79,130219,1.4,E
st-1a2090,2019-02-13 10:38:58,172.23.0.1,4007,1550057938282-1,A,51.90100533333333,N,5.541885333333333,E,0.0,42.22,130219,1.4,E
st-1a2090,2019-02-13 10:38:58,172.23.0.1,4007,1550057938507-0,A,51.90100533333333,N,5.541885333333333,E,0.0,42.35,130219,1.4,E
st-1a2090,2019-02-13 10:38:58,172.23.0.1,4007,1550057938862-0,A,51.90100533333333,N,5.541885333333333,E,0.0,40.21,130219,1.4,E
