device_id,datetime,address_ip,address_port,original_message_id,raw_message
0001,1550066999,172.19.0.17,4007,1550070599576-0,"A,51.31830816666667,N,4.315722166666666,E,0.0,1.59,150218,0.8,E"
0001,1550067661,172.19.0.16,4007,1550071261429-0,"A,51.31830816666667,N,4.315722166666666,E,0.0,1.59,150218,0.8,E"
0001,1550067048,172.19.0.17,4007,1550070648974-0,"A,51.3183085,N,4.315720833333334,E,0.0,5.25,150218,0.8,E"
0001,1550069034,172.19.0.16,4007,1550072634730-0,"A,51.3183085,N,4.315720833333334,E,0.0,5.25,150218,0.8,E"
0001,1550069696,172.19.0.16,4007,1550073296534-0,"A,5$1.31%83085,N&,4.3@15*720833333334@,E,0.0,5.25,150218,0.8,E"
0001,1550067111,172.19.0.17,4007,1550070711545-0,"A,51.31830766666667,N,4.315721666666667,E,0.0,2.0,150218,0.8,E"
0001,1550063485,172.19.0.11,4007,1550067085998-0,"A,5$1.31%8307666&6666@7,*N,4.31572166@6666667,E,0.0,2.0,150218,0.8,E"
0001,1550063489,172.19.0.11,4007,1550067089579-0,"A,51.31830766666667,N,4.315721666666667,E,0.0,1.56,150218,0.8,E"
0001,1550068438,172.19.0.16,4007,1550072038921-0,"A,51.31830766666667,N,4.315721666666667,E,0.0,1.56,150218,0.8,E"
0001,1550067115,172.19.0.17,4007,1550070715129-0,"A,5$1.31%8307666&6666@7,*N,4.31572166@6666667,E,0.0,1.56,150218,0.8,E"
0001,1550069100,172.19.0.16,4007,1550072700884-0,"A,51.31830766666667,N,4.315721666666667,E,0.0,1.56,150218,0.8,E"
0001,1550067115,172.19.0.17,4007,1550070715997-0,"A,51.31830766666667,N,4.315721666666667,E,0.0,5.94,150218,0.8,E"
0001,1550063490,172.19.0.11,4007,1550067090452-1,"A,51.31830766666667,N,4.315721666666667,E,0.0,5.94,150218,0.8,E"
0001,1550069101,172.19.0.16,4007,1550072701746-0,"A,51.31830766666667,N,4.315721666666667,E,0.0,5.94,150218,0.8,E"
0001,1550067116,172.19.0.17,4007,1550070716452-0,"A,51.31830766666667,N,4.315721666666667,E,0.0,5.9,150218,0.8,E"
0001,1550063490,172.19.0.11,4007,1550067090907-0,"A,51.31830766666667,N,4.315721666666667,E,0.0,5.9,150218,0.8,E"
0001,1550069102,172.19.0.16,4007,1550072702212-0,"A,5$1.31%8307666&6666@7,*N,4.31572166@6666667,E,0.0,5.9,150218,0.8,E"
0001,1550067144,172.19.0.17,4007,1550070744051-0,"A,5$1.31%8307,N,&4.31@57*23166666666,@E,0.0,5.25,150218,0.8,E"
0001,1550068467,172.19.0.16,4007,1550072067843-0,"A,51.318307,N,4.315723166666666,E,0.0,5.25,150218,0.8,E"
0001,1550068468,172.19.0.16,4007,1550072068526-0,"A,51.318307,N,4.315723333333334,E,0.0,8.45,150218,0.8,E"
0001,1550067806,172.19.0.16,4007,1550071406586-0,"A,51.318307,N,4.315723333333334,E,0.0,8.45,150218,0.8,E"
0001,1550067144,172.19.0.17,4007,1550070744731-0,"A,5$1.31%8307,N,&4.31@57*23333333334,@E,0.0,8.45,150218,0.8,E"
st-1a2090,1550080004,172.24.0.1,4007,1550083604947-0,"A,5$1.69%0416166&6666@65*,N,4.4091016@666666665,E,0.0,0.59,130219,1.0,E"
st-1a2090,1550080006,172.24.0.1,4007,1550083606350-0,"A,5$1.69%0416166&6666@65*,N,4.4091016@666666665,E,0.0,4.29,130219,1.0,E"
st-1a2090,1549926225,192.168.240.1,4007,1549929825863-0,"A,50.98073566666667,N,6.977534,E,0.0,71.36,120219,1.8,E"
st-1a2090,1550105690,172.24.0.1,4007,1550109290906-0,"A,5$1.68%3604333&3333@35*,N,4.3930221@666666665,E,0.0,76.12,140219,1.0,E"
st-1a2090,1550105691,172.24.0.1,4007,1550109291386-0,"A,5$1.68%36045,N&,4.3@93*022,E,0.0,76@.6,140219,1.0,E"
st-1a2090,1550105691,172.24.0.1,4007,1550109291885-0,"A,51.6836045,N,4.393022,E,0.0,73.99,140219,1.0,E"
st-1a2090,1550052436,172.23.0.1,4007,1550056036964-0,"A,5$1.90%3500666&6666@66*,N,5.5429625@,E,0.0,50.12,130219,1.4,E"
st-1a2090,1550052437,172.23.0.1,4007,1550056037556-0,"A,51.903500666666666,N,5.5429623333333335,E,0.0,51.42,130219,1.4,E"
st-1a2090,1550054336,172.23.0.1,4007,1550057936361-0,"A,51.90100533333333,N,5.541885333333333,E,0.0,22.79,130219,1.4,E"
st-1a2090,1550054338,172.23.0.1,4007,1550057938282-1,"A,5$1.90%1005333&3333@3,*N,5.54188533@3333333,E,0.0,42.22,130219,1.4,E"
st-1a2090,1550054338,172.23.0.1,4007,1550057938507-0,"A,51.90100533333333,N,5.541885333333333,E,0.0,42.35,130219,1.4,E"
st-1a2090,1550054338,172.23.0.1,4007,1550057938862-0,"A,51.90100533333333,N,5.541885333333333,E,0.0,40.21,130219,1.4,E"
st-1a2090,1550054339,172.23.0.1,4007,1550057939965-0,"A,5$1.90%1005333&3333@3,*N,5.54188516@6666667,E,0.0,33.43,130219,1.4,E"
st-1a2090,1550054343,172.23.0.1,4007,1550057943365-0,"A,5$1.90%1005333&3333@3,*N,5.54188516@6666667,E,0.0,17.97,130219,1.4,E"
st-1a2090,1550054344,172.23.0.1,4007,1550057944624-0,"A,51.90100533333333,N,5.541885166666667,E,0.0,23.71,130219,1.4,E"
st-1a2090,1550054345,172.23.0.1,4007,1550057945042-0,"A,51.901005166666664,N,5.541885166666667,E,0.0,31.1,130219,1.4,E"
st-1a2090,1550054345,172.23.0.1,4007,1550057945872-0,"A,51.901005166666664,N,5.541885,E,0.0,37.99,130219,1.4,E"
st-1a2090,1550054346,172.23.0.1,4007,1550057946363-0,"A,5$1.90%1005166&6666@64*,N,5.5418851@66666667,E,0.0,42.78,130219,1.4,E"
st-1a2090,1550054348,172.23.0.1,4007,1550057948330-0,"A,51.901005166666664,N,5.541885166666667,E,0.0,30.55,130219,1.4,E"
st-1a2090,1550054348,172.23.0.1,4007,1550057948558-0,"A,51.901005166666664,N,5.541885166666667,E,0.0,28.74,130219,1.4,E"
st-1a2090,1550054348,172.23.0.1,4007,1550057948872-0,"A,51.901005166666664,N,5.541885166666667,E,0.0,27.12,130219,1.4,E"
st-1a2090,1550054349,172.23.0.1,4007,1550057949361-0,"A,5$1.90%1005166&6666@64*,N,5.5418851@66666667,E,0.0,34.14,130219,1.4,E"
st-1a2090,1550054349,172.23.0.1,4007,1550057949958-0,"A,51.901005166666664,N,5.541885166666667,E,0.0,42.62,130219,1.4,E"
st-1a2090,1550054350,172.23.0.1,4007,1550057950364-0,"A,5$1.90%1005166&6666@64*,N,5.5418851@66666667,E,0.0,48.02,130219,1.4,E"
st-1a2090,1550054351,172.23.0.1,4007,1550057951241-0,"A,51.901005166666664,N,5.541885166666667,E,0.0,43.0,130219,1.4,E"
st-1a2090,1550054378,172.23.0.1,4007,1550057978556-0,"A,5$1.90%10065,N&,5.5@41*886166666667@,E,0.0,38.07,130219,1.4,E"
st-1a2090,1550054379,172.23.0.1,4007,1550057979959-0,"A,51.9010065,N,5.541886166666667,E,0.0,42.68,130219,1.4,E"
st-1a2090,1550054380,172.23.0.1,4007,1550057980364-0,"A,5$1.90%10065,N&,5.5@41*886166666667@,E,0.0,37.03,130219,1.4,E"
st-1a2090,1550054380,172.23.0.1,4007,1550057980967-0,"A,51.9010065,N,5.541886166666667,E,0.0,28.44,130219,1.4,E"
st-1a2090,1550054381,172.23.0.1,4007,1550057981620-0,"A,5$1.90%10065,N&,5.5@41*886166666667@,E,0.0,30.79,130219,1.4,E"
st-1a2090,1550054381,172.23.0.1,4007,1550057981923-0,"A,51.9010065,N,5.541886166666667,E,0.0,39.28,130219,1.4,E"
st-1a2090,1550054382,172.23.0.1,4007,1550057982458-0,"A,51.9010065,N,5.541886166666667,E,0.0,43.96,130219,1.4,E"
st-1a2090,1550054382,172.23.0.1,4007,1550057982861-0,"A,5$1.90%10065,N&,5.5@41*886166666667@,E,0.0,36.71,130219,1.4,E"
st-1a2090,1550054383,172.23.0.1,4007,1550057983365-0,"A,51.9010065,N,5.541886166666667,E,0.0,27.77,130219,1.4,E"
st-1a2090,1550054384,172.23.0.1,4007,1550057984971-0,"A,51.9010065,N,5.541886166666667,E,0.0,24.81,130219,1.4,E"
st-1a2090,1550054385,172.23.0.1,4007,1550057985409-0,"A,51.9010065,N,5.541886166666667,E,0.0,33.05,130219,1.4,E"
st-1a2090,1550054481,172.23.0.1,4007,1550058081458-0,"A,51.90100416666667,N,5.541886166666667,E,0.0,92.39,130219,1.4,E"
st-1a2090,1550054482,172.23.0.1,4007,1550058082119-0,"A,5$1.90%1004166&6666@7,*N,5.54188616@6666667,E,0.0,90.84,130219,1.4,E"
st-1a2090,1550054482,172.23.0.1,4007,1550058082545-0,"A,51.90100416666667,N,5.541886166666667,E,0.0,82.19,130219,1.4,E"
st-1a2090,1550054482,172.23.0.1,4007,1550058082872-0,"A,5$1.90%1004166&6666@7,*N,5.54188616@6666667,E,0.0,74.42,130219,1.4,E"
st-1a2090,1550054483,172.23.0.1,4007,1550058083366-0,"A,51.90100416666667,N,5.541886166666667,E,0.0,75.22,130219,1.4,E"
st-1a2090,1550054483,172.23.0.1,4007,1550058083861-0,"A,51.90100416666667,N,5.541886,E,0.0,72.32,130219,1.4,E"
st-1a2090,1550054484,172.23.0.1,4007,1550058084365-0,"A,5$1.90%1004166&6666@7,*N,5.541886,E@,0.0,76.35,130219,1.4,E"
st-1a2090,1550054492,172.23.0.1,4007,1550058092552-1,"A,5$1.90%1004166&6666@7,*N,5.5418855,@E,0.0,66.35,130219,1.4,E"
st-1a2090,1550054493,172.23.0.1,4007,1550058093865-0,"A,51.90100416666667,N,5.5418855,E,0.0,72.3,130219,1.4,E"
st-1a2090,1550054494,172.23.0.1,4007,1550058094361-0,"A,5$1.90%1004166&6666@7,*N,5.54188533@3333333,E,0.0,78.23,130219,1.4,E"
st-1a2090,1550054495,172.23.0.1,4007,1550058095294-0,"A,51.901004,N,5.541885333333333,E,0.0,69.03,130219,1.4,E"
st-1a2090,1550054495,172.23.0.1,4007,1550058095965-0,"A,51.901004,N,5.541885333333333,E,0.0,65.57,130219,1.4,E"
st-1a2090,1550054496,172.23.0.1,4007,1550058096360-0,"A,51.901004,N,5.541885333333333,E,0.0,58.51,130219,1.4,E"
st-1a2090,1550054498,172.23.0.1,4007,1550058098628-0,"A,51.901004,N,5.541885333333333,E,0.0,65.09,130219,1.4,E"
st-1a2090,1550054499,172.23.0.1,4007,1550058099361-0,"A,51.901004,N,5.541885333333333,E,0.0,75.99,130219,1.4,E"
st-1a2090,1550054499,172.23.0.1,4007,1550058099963-0,"A,51.901004,N,5.541885333333333,E,0.0,65.67,130219,1.4,E"
st-1a2090,1550054500,172.23.0.1,4007,1550058100368-0,"A,51.901004,N,5.541885333333333,E,0.0,65.16,130219,1.4,E"
st-1a2090,1550054500,172.23.0.1,4007,1550058100859-0,"A,51.901004,N,5.541885333333333,E,0.0,59.0,130219,1.4,E"
st-1a2090,1550054501,172.23.0.1,4007,1550058101462-0,"A,51.901004,N,5.541885333333333,E,0.0,62.74,130219,1.4,E"
st-1a2090,1550054502,172.23.0.1,4007,1550058102119-0,"A,5$1.90%1004,N,&5.54@18*85333333333,@E,0.0,55.23,130219,1.4,E"
st-1a2090,1550054502,172.23.0.1,4007,1550058102541-0,"A,51.901004,N,5.541885333333333,E,0.0,57.5,130219,1.4,E"
st-1a2090,1550054502,172.23.0.1,4007,1550058102867-0,"A,51.901003833333334,N,5.541885333333333,E,0.0,67.82,130219,1.4,E"
st-1a2090,1550054503,172.23.0.1,4007,1550058103370-1,"A,51.901003833333334,N,5.541885333333333,E,0.0,71.04,130219,1.4,E"
st-1a2090,1550054503,172.23.0.1,4007,1550058103857-0,"A,51.901003833333334,N,5.541885333333333,E,0.0,72.53,130219,1.4,E"
st-1a2090,1550054504,172.23.0.1,4007,1550058104360-0,"A,51.901003833333334,N,5.541885333333333,E,0.0,69.37,130219,1.4,E"
st-1a2090,1550054858,172.23.0.1,4007,1550058458860-0,"A,51.901004,N,5.5418825,E,0.0,99.31,130219,1.4,E"
st-1a2090,1550054859,172.23.0.1,4007,1550058459362-0,"A,51.90100416666667,N,5.5418825,E,0.0,93.39,130219,1.4,E"
st-1a2090,1550055160,172.23.0.1,4007,1550058760362-0,"A,51.901003333333335,N,5.541881833333333,E,0.0,72.0,130219,1.4,E"
st-1a2090,1550055161,172.23.0.1,4007,1550058761458-0,"A,5$1.90%1003333&3333@35*,N,5.5418818@33333333,E,0.0,74.25,130219,1.4,E"
